date,exercise,weight,units,reps
8/23/12,clean and jerk,125,lb,3
8/23/12,clean and jerk,135,lb,2
8/23/12,clean and jerk,145,lb,2
8/23/12,clean and jerk,155,lb,2
8/23/12,clean and jerk,165,lb,1
8/23/12,clean and jerk,125,lb,3
8/23/12,clean and jerk,135,lb,2
8/23/12,clean and jerk,145,lb,2
8/23/12,clean and jerk,155,lb,2
8/23/12,clean and jerk,165,lb,1
8/25/12,clean,135,lb,2
8/25/12,clean,135,lb,2
8/25/12,clean,135,lb,2
8/25/12,clean,135,lb,2
8/25/12,clean,135,lb,2
8/25/12,clean,135,lb,2
8/25/12,clean,135,lb,2
8/25/12,clean,135,lb,2
8/25/12,clean,135,lb,2
8/25/12,clean,135,lb,2
8/25/12,clean,135,lb,2
8/25/12,clean,135,lb,2
8/25/12,clean,135,lb,2
8/25/12,clean,135,lb,2
8/25/12,clean,135,lb,2
8/25/12,jerk,135,lb,1
8/25/12,jerk,155,lb,2
8/25/12,jerk,165,lb,1
8/25/12,jerk,175,lb,1
8/25/12,jerk,185,lb,1
8/25/12,jerk,195,lb,1
8/25/12,jerk,205,lb,1
8/26/12,clean and jerk,135,lb,30
8/28/12,snatch,95,lb,3
8/28/12,snatch,105,lb,2
8/28/12,snatch,115,lb,1
8/28/12,snatch,120,lb,1
8/28/12,snatch,115,lb,1
8/28/12,snatch,120,lb,1
8/28/12,snatch,125,lb,1
8/28/12,snatch,130,lb,2
8/29/12,front barbell squat,145,lb,5
8/29/12,front barbell squat,145,lb,5
8/29/12,front barbell squat,145,lb,5
8/30/12,clean and jerk,135,lb,3
8/30/12,clean and jerk,145,lb,2
8/30/12,clean and jerk,145,lb,2
8/30/12,clean and jerk,155,lb,1
8/30/12,clean and jerk,155,lb,1
8/30/12,clean and jerk,95,lb,3
8/30/12,clean and jerk,125,lb,2
8/30/12,clean and jerk,145,lb,1
8/30/12,clean and jerk,155,lb,1
8/30/12,clean and jerk,165,lb,1
8/30/12,clean and jerk,185,lb,1
8/30/12,clean and jerk,190,lb,1
8/30/12,clean and jerk,200,lb,1
8/30/12,clean and jerk,135,lb,3
8/30/12,clean and jerk,145,lb,2
8/30/12,clean and jerk,145,lb,2
8/30/12,clean and jerk,155,lb,1
8/30/12,clean and jerk,155,lb,1
8/30/12,clean and jerk,95,lb,3
8/30/12,clean and jerk,125,lb,2
8/30/12,clean and jerk,145,lb,1
8/30/12,clean and jerk,155,lb,1
8/30/12,clean and jerk,165,lb,1
8/30/12,clean and jerk,185,lb,1
8/30/12,clean and jerk,190,lb,1
8/30/12,clean and jerk,200,lb,1
