"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Barbell Deadlift",2012-09-02,1,135,,5,,"135 lb || 5 reps","66"
"Barbell Deadlift",2012-09-02,2,135,,5,,"135 lb || 5 reps","66"
"Barbell Deadlift",2012-09-02,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Deadlift",2012-09-02,4,135,,5,,"135 lb || 5 reps","66"
"Barbell Deadlift",2012-09-02,5,135,,5,,"135 lb || 5 reps","66"
"Barbell Deadlift",2012-09-02,6,135,,5,,"135 lb || 5 reps","66"
"Barbell Deadlift",2012-09-09,101,225,,5,,"225 lb || 5 reps","121"
"Barbell Deadlift",2012-09-09,102,225,,5,,"225 lb || 5 reps","121"
"Barbell Deadlift",2012-09-09,103,225,,5,,"225 lb || 5 reps","121"
"Barbell Deadlift",2012-09-15,101,135,,5,,"135 lb || 5 reps","66"
"Barbell Deadlift",2012-09-15,102,135,,5,,"135 lb || 5 reps","66"
"Barbell Deadlift",2012-09-15,103,205,,2,,"205 lb || 2 reps","71"
"Barbell Deadlift",2012-09-15,104,205,,2,,"205 lb || 2 reps","71"
"Barbell Deadlift",2012-09-15,105,205,,2,,"205 lb || 2 reps","71"
"Barbell Deadlift",2012-09-15,106,205,,2,,"205 lb || 2 reps","71"
"Barbell Deadlift",2012-09-15,107,205,,2,,"205 lb || 2 reps","71"
"Barbell Deadlift",2012-09-15,108,205,,2,,"205 lb || 2 reps","71"
"Barbell Deadlift",2012-09-15,109,205,,2,,"205 lb || 2 reps","71"
"Barbell Deadlift",2012-09-15,110,205,,2,,"205 lb || 2 reps","71"
"Barbell Deadlift",2012-09-15,111,205,,2,,"205 lb || 2 reps","71"
"Barbell Deadlift",2012-09-15,112,205,,2,,"205 lb || 2 reps","71"
"Barbell Deadlift",2012-09-15,113,205,,2,,"205 lb || 2 reps","71"
"Barbell Deadlift",2012-09-23,801,275,,3,,"275 lb || 3 reps","136"
"Barbell Deadlift",2012-09-23,802,275,,3,,"275 lb || 3 reps","136"
"Barbell Deadlift",2012-09-23,803,275,,3,,"275 lb || 3 reps","136"
"Barbell Deadlift",2012-09-23,804,275,,3,,"275 lb || 3 reps","136"
"Barbell Deadlift",2012-09-23,805,275,,3,,"275 lb || 3 reps","136"
"Barbell Deadlift",2012-09-23,806,275,,3,,"275 lb || 3 reps","136"
"Barbell Deadlift",2012-10-23,301,155,,5,,"155 lb || 5 reps","75"
"Barbell Deadlift",2012-10-23,302,155,,5,,"155 lb || 5 reps","75"
"Barbell Deadlift",2012-10-23,303,155,,5,,"155 lb || 5 reps","75"
"Barbell Deadlift",2012-10-23,304,155,,5,,"155 lb || 5 reps","75"
"Barbell Deadlift",2012-10-23,305,155,,5,,"155 lb || 5 reps","75"
"Barbell Deadlift",2012-11-05,1,225,,5,,"225 lb || 5 reps","121"
"Barbell Deadlift",2012-11-05,2,225,,5,,"225 lb || 5 reps","121"
"Barbell Deadlift",2012-11-05,3,225,,5,,"225 lb || 5 reps","121"
"Barbell Deadlift",2012-11-05,4,225,,5,,"225 lb || 5 reps","121"
"Barbell Deadlift",2012-11-05,5,225,,5,,"225 lb || 5 reps","121"
"Barbell Deadlift",2013-02-19,1,225,,7,,"225 lb || 7 reps","133"
"Barbell Deadlift",2013-02-19,2,225,,7,,"225 lb || 7 reps","133"
"Barbell Deadlift",2013-02-19,3,225,,7,,"225 lb || 7 reps","133"
"Barbell Deadlift",2013-02-19,4,225,,7,,"225 lb || 7 reps","133"
"Barbell Deadlift",2013-03-16,1,115,,10,,"115 lb || 10 reps","68"
